guid,German,"German Definition","German Example",English,"English Example",tags
5R*LS^rFm^,"die Ankunft",,,arrival,,
X}Zt9Fy_6(,annehmen,,,"to assume, to suppose",,
K>l7+v}^}T,benehmen,,,"to behave",,
",j+e-{)|jO",gelten,,,"to count, to be valid, to be in effect",,
..k8a6)H-g,"ab und zu",,,"every now and then, from time to time",,
K>kP:M:BY9,befreunden,,,"to befriend",,
3g.?A=4u#P,neulich,,,"newly, recently",,
QpF5`uN*Ew,"die Kette",,,chain,,
/0ub+g/Y9K,abreißen,,,"to tear off",,
V~.G?G[2Xh,häufig,,,often,,
2FwLMH]x2?,denselben,,,"the same",,
:jnL;G^!;~,inhaltlich,,,contentwise,,
M4W{0ig:&U,"der Wert",,,"value, worth",,"Lektion_1 Hören"
:dok0<#6P{,erfahren,,,"to learn, to experience",,
Y4xR>XWzh1,abbrechen,,,"to break off, to disconnect",,
K0-P6Ry`$.,"der Studienzweck (Pl.)",,,"studying purpose (pl.)",,"Lektion_1 Lesen"
Kkyr1mo4TP,ehrlich,,,honest,,
*C(/f*2_m8,"der Zufall","etwas, was man nicht vorausgesehen hat, was nicht beabsichtigt war, was unerwartet geschah","Ich habe durch Zufall (zufällig) davon gehört",coincidence,,"Lektion_1 Sehen_und_Hoeren"
<4|!M7kjt{,irgendwer,"irgendeiner, irgendjemand","Irgendwer gab mir neulich diesen Tipp",someone/anyone,,"Lektion_1 Sehen_und_Hoeren"
7`1aiZn&*;,"der Typ","[junge] männliche Person, zu der eine irgendwie persönlich geartete Beziehung besteht, hergestellt wird","Der Typ hat sich ein Vanilleeis gekauft",guy,,"Lektion_1 Sehen_und_Hoeren"
$(ShiuP!4x,"da vorn","auf der zugewandten, vorderen Seite, Vorderseite, im vorderen Teil","Da vorn ist der Eingang","up there",,"Lektion_1 Sehen_und_Hoeren"
9mM!YKwiM,stoßen,"in [gezielter] schneller Bewegung [mit etwas] auf jemanden, etwas auftreffen","Jemanden mit dem Fuß stoßen","to shove/push (someone)",,"Lektion_1 Sehen_und_Hoeren"
Q}B%YRkyHL,genial,"Genie besitzend, erkennen lassend; überragend, großartig","Eine geniale Idee, Künstlerin",brilliant/genius,,"Lektion_1 Sehen_und_Hoeren"
TZVF279sD%,drehen,"im Kreis [teilweise] um seine Achse bewegen","Den Schlüssel im Schloss drehen",turn/twist,,"Lektion_1 Sehen_und_Hoeren"
$DCISllxZi,"die Haarspange","[als Schmuck] im Haar getragene Spange, die Strähnen zusammenhalten soll","Die Frau trägt eine Haarspange",hairclip,,"Lektion_1 Sehen_und_Hoeren"
OD)=vBj$-J,"der Wahnsinn","großer Unsinn, sehr unvernünftiges, unsinniges Denken, Verhalten, Handeln; grenzenlose Unvernunft
","Es ist doch heller, reiner, purer Wahnsinn, so etwas zu tun","madness, insanity",,"Lektion_1 Sehen_und_Hoeren"
)A#q2PLU|_,dämlich,"dumm, einfältig","Du bist ganz schön dämlich, wenn du auf diesen Vorschlag eingehst","dumb, stupid",,"Lektion_1 Sehen_und_Hoeren"
PCc-fgD0_0,rutschen,"sich gleitend über eine Fläche hinbewegen","Der kleine Junge rutscht durchs Zimmer","to slide",,"Lektion_1 Sehen_und_Hoeren"
OpY#yNqngl,ausrutschen,"durch Rutschen auf einer glatten Fläche o. Ä. das Gleichgewicht verlieren [und zu Fall kommen]; ausgleiten","Er ist auf einer Bananenschale ausrutschen [und hinfallen]","to slip",,"Lektion_1 Sehen_und_Hoeren"
&[N<Q=:TeJ,treten,"jemandem, einer Sache einen Tritt versetzen","Er hat den Hund getreten","to kick",,"Lektion_1 Sehen_und_Hoeren"
+j)RB^Z|GN,"die Perücke","[unechtes] Haar, das wie eine Kappe als Ersatz für fehlendes Haar, zu Kostümen, aus modischen o. ä. Gründen getragen wird","Der Schauspieler trägt eine Perücke, weil er eigentlich eine Glatze hat",wig,,"Lektion_1 Sehen_und_Hoeren"
WlM(8KGlA_,riesig,"außerordentlich, übermäßig groß, umfangreich; gewaltig","Riesige Häuser, Türme, Berge","huge, enormous",,"Lektion_1 Sehen_und_Hoeren"
Q08K/o~!_7,"die Belohnung","etwas, womit man jemanden für etwas belohnt","Der Hund hat sich eine Belohnung verdient",reward,,"Lektion_1 Sehen_und_Hoeren"
5YwD6?LOiV,kassieren,"(einen zur Zahlung fälligen Betrag) einziehen","Der Vermieter hat die Miete kassiert","to cash, to collect",,"Lektion_1 Sehen_und_Hoeren"
-Qk?7v`J7j,"der Wirbelsturm","(besonders in den Tropen auftretender) starker Sturm, der sich um einen Mittelpunkt kreisend fortbewegt","Ein verheerender, tobender, heftiger Wirbelsturm","tornado, hurricane",,"Lektion_1 Sehen_und_Hoeren"
-<k@leE_RK,verhindern,"durch entsprechende Maßnahmen o. Ä. bewirken, dass etwas nicht geschehen kann, von jemandem nicht getan, ausgeführt usw. werden kann

","Es ließ sich leider nicht verhindern, dass ...","to prevent",,"Lektion_1 Sehen_und_Hoeren"
ZeM!et!NO-,beeinflussen,"auf jemanden, etwas einen Einfluss (mit bestimmten Wirkungen) ausüben","dieser Schriftsteller ist von Brecht beeinflusst",influence,,"Lektion_1 Sehen_und_Hoeren"
"N,aQrOL=aO","das Ereignis","besonderer, nicht alltäglicher Vorgang, Vorfall; Geschehnis","Ein trauriges, bedeutendes, historisches Ereignis",event,,"Lektion_1 Schreiben"
T{CjpeRt<9,aufrichtig,"dem innersten Gefühl, der eigenen Überzeugung ohne Verstellung Ausdruck gebend","Ein aufrichtiger Mensch
","honest, genuine",,"Lektion_1 Schreiben"
